run,steps,collisions,intimate,close intimate,person,social,public
159,220,0,0,0,0,65,8051
160,319,0,0,0,0,576,13624
161,400,0,0,0,0,1203,10519
162,213,0,0,0,0,9,6940
163,213,0,0,0,0,0,9557
164,212,0,0,0,0,0,8568
165,631,0,0,177,847,1709,8298
166,214,0,0,0,0,103,8945
167,474,0,0,0,0,1822,12382
168,213,0,0,0,0,287,9160
169,246,0,0,0,0,656,10516
170,229,0,0,0,0,510,8691
171,215,0,0,0,0,375,8991
172,569,0,0,0,241,2859,11396
173,234,0,0,0,0,583,9549
174,212,0,0,0,0,208,9324
175,255,0,0,0,0,2133,10565
176,536,0,0,29,931,3491,7360
177,214,0,0,0,0,0,6687
178,483,0,0,51,457,2769,11942
179,525,0,0,8,779,2785,13708
180,253,0,0,0,0,818,9860
181,503,0,0,0,0,1759,14669
182,394,0,0,0,0,1508,8767
183,225,0,0,0,0,689,10561
184,409,0,0,0,0,2554,13632
185,213,0,0,0,0,308,8536
186,215,0,0,0,0,436,10244
187,212,0,0,0,0,0,9797
188,212,0,0,0,0,0,8221
189,212,0,0,0,0,106,9122
190,212,0,0,0,0,0,10600
191,226,0,0,0,0,415,10608
192,214,0,0,0,0,0,7460
193,213,0,0,0,0,148,10502
194,302,0,0,0,0,569,6750
195,213,0,0,0,0,96,10554
196,273,0,0,0,0,788,7494
197,240,0,0,0,71,1063,9391
198,223,0,0,0,0,194,9414
199,317,0,0,0,569,2018,11658
200,237,0,0,0,0,605,10325
201,253,0,0,0,0,1164,9065
202,213,0,0,0,0,14,8116
203,271,0,0,0,0,812,8155
204,212,0,0,0,0,0,8485
205,533,0,0,54,562,3119,11363
206,261,0,0,0,0,528,10805
207,214,0,0,0,0,54,9642
208,213,0,0,0,0,272,9276
209,346,0,0,0,0,1498,9836
210,275,0,0,0,0,847,6473
211,269,0,0,0,0,611,9625
212,400,0,0,31,339,1372,8170
213,213,0,0,0,0,37,9440
214,232,0,0,0,2,448,6587
215,411,0,0,0,324,2457,11939
216,213,0,0,0,0,161,10116
217,222,0,0,0,0,1203,7833
218,212,0,0,0,0,8,8185
219,212,0,0,0,0,0,8611
220,438,0,1,79,541,2187,14022
221,287,0,0,0,27,1190,10693
222,212,0,0,0,0,0,9842
223,523,0,0,22,283,2637,7716
224,299,0,0,0,92,978,12272
225,325,0,0,0,458,3425,6655
226,351,0,0,0,0,1151,9267
227,308,0,0,0,0,631,10398
228,572,0,0,0,414,1899,8442
229,214,0,0,0,0,0,10524
230,214,0,0,0,0,230,8705
231,213,0,0,0,0,67,8392
232,221,0,0,0,0,374,7197
233,285,0,0,0,96,1085,11780
234,213,0,0,0,0,0,10650
235,213,0,0,0,0,0,8474
236,213,0,0,0,0,146,8347
237,412,0,0,0,231,2049,10194
238,416,0,0,22,663,1286,6057
239,384,0,0,0,0,2037,9331
240,253,0,0,0,0,444,11579
241,286,0,0,0,0,740,9619
242,212,0,0,0,0,0,9326
243,460,0,0,0,0,2097,13877
244,214,0,0,0,0,225,8895
245,329,0,0,0,0,1452,8491
246,215,0,0,0,0,215,9593
247,215,0,0,0,0,214,10536
248,487,0,0,0,420,3327,11064
249,213,0,0,0,0,0,10650
250,310,0,0,0,0,900,9135
251,212,0,0,0,0,24,6929
252,212,0,0,0,0,97,9297
253,285,0,0,0,91,1717,8166
254,212,0,0,0,0,0,7958
255,327,0,0,0,147,2498,9959
256,236,0,0,0,0,425,9247
257,214,0,0,0,0,87,10323
258,293,0,0,0,68,1002,10235
259,213,0,0,0,0,0,9309
260,212,0,0,0,0,0,10580
261,213,0,0,0,0,163,8623
262,223,0,0,0,0,439,10377
263,306,0,0,0,28,925,9343
264,288,0,0,0,0,1459,11854
265,328,0,0,0,222,1291,14504
266,225,0,0,0,0,456,10794
267,228,0,0,0,0,416,9253
268,340,0,0,0,0,906,7513
269,281,0,0,0,0,962,9052
270,214,0,0,0,0,0,7776
271,232,0,0,0,1,1336,5350
272,329,0,0,0,166,2004,11772
273,249,0,0,0,0,578,9450
274,362,0,0,0,522,2981,12291
275,478,0,3,106,539,1416,10321
276,648,0,0,148,728,1426,5501
277,224,0,0,0,0,301,7866
278,212,0,0,0,0,0,9367
279,357,0,0,9,237,1298,12143
280,456,0,0,0,0,1490,10359
281,213,0,0,0,0,61,8954
282,215,0,0,0,0,481,9713
283,269,0,0,0,0,444,12304
284,213,0,0,0,0,0,10644
285,242,0,0,0,0,1724,6749
286,388,0,0,28,321,1083,10073
287,236,0,0,0,0,497,9921
288,386,0,0,0,0,1962,12649
289,213,0,0,0,0,76,8580
290,213,0,0,0,0,51,6868
291,213,0,0,0,0,0,8363
292,580,0,0,0,55,2998,13082
293,219,0,0,0,0,396,10554
294,230,0,0,0,0,320,9473
295,221,0,0,0,0,443,8847
296,364,0,0,0,0,1977,13184
297,214,0,0,0,0,0,8122
298,222,0,0,0,0,488,8276
299,212,0,0,0,0,0,4697
300,238,0,0,0,0,392,9663
301,304,0,0,0,234,1868,9688
302,213,0,0,0,0,0,8164
303,214,0,0,0,0,106,7830
304,253,0,0,0,0,628,10853
305,327,0,0,0,0,1273,12662
306,243,0,0,0,0,408,10640
307,352,0,0,0,9,1777,8607
308,228,0,0,0,0,251,9366
309,212,0,0,0,0,0,6747
310,212,0,0,0,0,0,8187
311,376,0,0,0,0,1684,13086
312,213,0,0,0,0,253,9518
